Nivel_Optimizacion, T_popcount1, T_popcount2, T_popcount3, T_popcount4, T_popcount5, T_popcount6, T_popcount7, T_popcount8, T_popcount9, T_popcount10
O0,52503,27275,7891,7229,13637,4864,2493,485,1901,574,
O1,14879,8353,7101,8785,2997,1696,959,268,437,218,
O2,13770,5539,7005,6714,2974,1557,883,280,324,219,
Og,14444,9225,8746,6726,3511,1707,992,268,325,219,
O0,52432,27269,7901,7284,13589,4891,2509,488,1811,550,
O1,15026,7124,7072,8787,2994,1693,958,268,437,219,
O2,13990,5530,7031,6669,2957,1550,888,279,324,218,
Og,14455,5627,10611,6683,3508,1690,979,268,322,221,
O0,52416,27277,7872,7216,13585,4891,2507,486,1803,551,
O1,15064,8349,7109,8781,2995,1697,959,268,437,219,
O2,13793,5560,7028,6660,2961,1539,876,279,325,218,
Og,14465,5612,8753,6684,3502,1691,979,268,322,219,
O0,52554,27821,7916,10640,13595,4891,2509,487,1816,596,
O1,14852,8331,7103,9866,2996,1708,964,268,437,219,
O2,13832,5529,7063,6697,2960,1551,882,281,342,218,
Og,14449,5600,8744,6680,3505,1689,978,269,321,218,
O0,53266,27434,7867,7239,13595,4869,2490,483,1806,551,
O1,14986,8355,7072,8797,2955,1687,953,267,437,219,
O2,13777,5544,7028,6680,2962,1544,880,281,329,219,
Og,14466,5632,8754,6676,3502,1688,981,266,321,218,
O0,52479,27329,7897,7287,13581,4926,2526,493,1806,550,
O1,14952,8322,7066,8788,2963,1685,952,266,437,218,
O2,13758,5536,7026,6676,2958,1537,878,280,326,219,
Og,14456,5602,8761,6685,3506,1697,985,266,324,219,
O0,52383,29478,7899,7248,13597,4892,2510,488,1804,554,
O1,14934,8333,7068,8776,2996,1694,959,270,437,219,
O2,13799,5561,7050,6700,2958,1537,888,280,325,219,
Og,14440,5587,8743,6678,3502,1690,981,266,321,218,
O0,52419,27298,7901,12426,13585,4925,2527,491,1809,587,
O1,14998,8376,7095,8776,2970,1695,958,266,437,219,
O2,13891,5544,7052,6685,2962,1546,891,281,325,219,
Og,14447,7914,8745,6680,3502,1696,979,267,321,219,
